WS,category,definition,gloss,uni_lemma
item_346,outside,katus,roof,roof
item_347,outside,kepp,stick,stick
item_348,outside,kiik,swing,swing
item_349,outside,kivi,stone,stone
item_350,outside,kraav,ditch,ditch
item_351,outside,kuu,moon,moon
item_352,outside,kõnnitee,path,path
item_353,outside,kühvel,shovel,shovel
item_354,outside,labidas,spade,spade
item_355,outside,liivakast,sandbox,sandbox
item_356,outside,lill0,flower,flower
item_357,outside,lipp,flag,flag
item_358,outside,lomp,puddle,puddle
item_359,outside,lumememm,snowman,snowman
item_360,outside,lumi,snow,snow
item_361,outside,maja,house,house
item_362,outside,muru,grass,grass
item_363,outside,muruniiduk,lawn mower,lawn mower
item_364,outside,pilv,cloud,cloud
item_365,outside,puu,tree,tree
item_366,outside,päike,sun,sun
item_367,outside,redel,ladder,ladder
item_368,outside,taevas,sky,sky
item_369,outside,tuul,wind,wind
item_370,outside,täht,star,star
item_371,outside,tänav,street,street
item_372,outside,vesi0,water (not beverage),water (not beverage)
item_373,outside,vihm,rain,rain
item_374,places,bensiinijaam,gas station,gas station
item_375,places,hoov,yard,yard
item_376,places,kino,cinema,movie
item_377,places,kirik,church,church
item_378,places,kodu,home,home
item_379,places,kool,school,school
item_380,places,külaskäik,visit,
item_381,places,lasteaed,kindergarten,kindergarten
item_382,places,linn,town,town
item_383,places,loomaaed,zoo,zoo
item_384,places,maa,countryside,country
item_385,places,matk,hike,
item_386,places,mets,forest,forest
item_387,places,mänguväljak,playground,playground
item_388,places,park,park,park
item_389,places,pidu,party,party
item_390,places,piknik,picnic,picnic
item_391,places,pood,shop,shop
item_392,places,rand,beach,beach
item_393,places,talu,farm,farm
item_394,places,töö,work (place),work (place)
item_395,places,õu,courtyard,yard
item_396,games_routines,aitäh,thank you,thank you
item_397,games_routines,anna,give (me),give me
item_398,games_routines,dadaa,bye-bye,bye
item_399,games_routines,ei,no,no
item_400,games_routines,halloo,hello (phone),hello
item_401,games_routines,head_ööd,good night,good night
item_402,games_routines,jah,yes,yes
item_403,games_routines,kuss,shh,shh
item_404,games_routines,kuts_läks_karja,doggy went to field,
item_405,games_routines,lõunauinak,nap,nap
item_406,games_routines,lähme_poodi,let's go to the shop,
item_407,games_routines,lähme_sööma,let's eat,
item_408,games_routines,löö_patsi,high five,high five
item_409,games_routines,nii_suur,so big,so big
item_410,games_routines,oota,wait,wait
item_411,games_routines,palun,please,please
item_412,games_routines,patsu_patsu_kooki,patty cake,pattycake
item_413,games_routines,peitus,hide and seek,hide and seek
item_414,games_routines,potile,on the potty,
item_415,games_routines,tahan_juua,I want to drink,
item_416,games_routines,tahan_süüa,I want to eat,
item_417,games_routines,tahan_sülle,I want to be carried,
item_418,games_routines,kull,play a game,
item_419,games_routines,tere,hello (greeting),hello
item_420,games_routines,vannisk_ik,bathtime,
item_421,games_routines,võimlemine,exercising,
item_422,games_routines,ära_tee,do not,don't
item_423,action_words,aitama,help,help
item_424,action_words,andma,give,give
item_425,action_words,ehitama,build,build
item_426,action_words,hakkama,begin,begin
item_427,action_words,hammustama,bite,bite
item_428,action_words,hoidma,hold,hold
item_429,action_words,hüppama,jump,jump
item_430,action_words,istuma,sit,sit
item_431,action_words,jalutama,stroll,
